URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/OPOPSVersionCS,0.6.1,draft,,OPOPSVersionCS,OPOPS Version CS,"OPS Version according to Schema","ValueSet/OPOPSVersionVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/OverallAssessmentResidualTumorCS,0.6.1,draft,,OverallAssessmentResidualTumorCS,Overall Assessment Residual Tumor CS,"Residual Tumor","ValueSet/OverallAssessmentResidualTumorVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/ProgressionLocalTumorStatusCS,0.6.1,draft,,ProgressionLocalTumorStatusCS,Progression Local Tumor Status CS,"Progression of local Tumor status","ValueSet/ProgressionLocalTumorStatusVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/SYSTIntentionCS,0.6.1,draft,,SYSTIntentionCS,SYST Intention CS,"Intention","ValueSet/SYSTIntentionVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/SYSTTherapyTypeCS,0.6.1,draft,,SYSTTherapyTypeCS,SYST Therapy Type CS,"Type of Therapy","ValueSet/SYSTTherapyTypeVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/SampleMaterialTypeCS,0.6.1,draft,,SampleMaterialTypeCS,Sample Material Type,"The type of material the sample consists of.","ValueSet/SampleMaterialTypeVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/SurgicalComplicationsCS,0.6.1,draft,,SurgicalComplicationsCS,Surgical Complications CS,"Surgical Complications","ValueSet/SurgicalComplicationsVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMLCategoryCS,0.6.1,draft,,TNMLCategoryCS,TNML Category CS,"Lymphatic vessel invasion. Generally occurs as part of a pTNM","ValueSet/TNMLCategoryVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMMCS,0.6.1,draft,,TNMMCS,TNMM CS,"TNM M-Category","ValueSet/TNMMVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMNCS,0.6.1,draft,,TNMNCS,TNMN CS,"TNM N-Category","ValueSet/TNMNVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMPnCategoryCS,0.6.1,draft,,TNMPnCategoryCS,TNMPn Category CS,"Perineural invasion. Generally occurs as part of a pTNM.","ValueSet/TNMPnCategoryVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMSCategoryCS,0.6.1,draft,,TNMSCategoryCS,TNMS Category CS,"Perineural invasion. Generally occurs as part of a pTNM.","ValueSet/TNMSCategoryVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMTCS,0.6.1,draft,,TNMTCS,TNMT CS,"TNM T-Category","ValueSet/TNMTVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMVCategoryCS,0.6.1,draft,,TNMVCategoryCS,TNMV Category CS,"Vein invasion. Generally performed as part of a pTNM.","ValueSet/TNMVCategoryVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMVersionCS,0.6.1,draft,,TNMVersionCS,TNM Version CS,"TNM Version","ValueSet/TNMVersionVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMmSymbolCS,0.6.1,draft,,TNMmSymbolCS,TNMm Symbol CS,"TNM m-Symbol","ValueSet/TNMmSymbolVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMrSymbolCS,0.6.1,draft,,TNMrSymbolCS,TNMr Symbol CS,"TNM r-Symbol","ValueSet/TNMrSymbolVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TNMySymbolCS,0.6.1,draft,,TNMySymbolCS,TNMy Symbol CS,"TNM y-Symbol","ValueSet/TNMySymbolVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/TumorSiteLocationCS,0.6.1,draft,,TumorSiteLocationCS,Tumor Site Location CS,"Lateral location of the tumor","ValueSet/TumorSiteLocationVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/UICCStageCS,0.6.1,draft,,UICCStageCS,UICC Stage CS,"UICC Stage","ValueSet/UICCStageVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/VitalStatusCS,0.6.1,draft,,VitalStatusCS,Vital Status CS,"VitalStatus","ValueSet/VitalStatusVS"
https://www.cancercoreeurope.eu/fhir/core/CodeSystem/YNUCS,0.6.1,draft,,YNUCS,YNU CS,"Yes / No / Unknown","ValueSet/YNUVS"
