URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMVCategoryVS,0.6.0,draft,,TNMVCategoryVS,TNMV Category VS,"Vein invasion. Generally performed as part of a pTNM.","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMVersionVS,0.6.0,draft,,TNMVersionVS,TNM Version VS,"TNM Version","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMmSymbolVS,0.6.0,draft,,TNMmSymbolVS,TNMm Symbol VS,"TNM m-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMrSymbolVS,0.6.0,draft,,TNMrSymbolVS,TNMr Symbol VS,"TNM r-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMySymbolVS,0.6.0,draft,,TNMySymbolVS,TNMy Symbol VS,"TNM y-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TopographyICDO3VS,0.6.0,draft,,TopographyICDO3VS,Topography ICDO3 VS,"Topography ICD-O-3 Codes","StructureDefinition/PrimaryDiagnosis","Other"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TumorSiteLocationVS,0.6.0,draft,,TumorSiteLocationVS,Tumor Site Location VS,"Lateral location of the tumor","StructureDefinition/PrimaryDiagnosis","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/UICCStageVS,0.6.0,draft,,UICCStageVS,UICC Stage VS,"UICC Stage","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/VitalStatusVS,0.6.0,draft,,VitalStatusVS,Vital Status VS,"VitalStatus","StructureDefinition/VitalStatus","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/YNUVS,0.6.0,draft,,YNUVS,YNU VS,"Yes / No / Unknown",,"Internal"
